City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Husavik,IS,66.0449,-17.3389,24.4,81,100,14.63,light snow
79,Bubaque,GW,11.2833,-15.8333,78.06,58,100,6.51,overcast clouds
80,Pokosnoye,RU,55.5258,101.0536,-16.87,90,99,11.86,overcast clouds
81,Codrington,AU,-38.2667,141.9667,62.51,53,100,20.18,overcast clouds
82,Belfast,GB,54.5833,-5.9333,37.22,83,20,6.91,few clouds
83,Kodiak,US,57.79,-152.4072,33.31,75,0,8.05,clear sky
84,Elliot,ZA,-31.3333,27.85,64.44,38,2,5.1,clear sky
85,Asau,RO,46.4333,26.4,40.28,79,93,6.38,overcast clouds
86,Hilo,US,19.7297,-155.09,76.73,85,75,8.05,broken clouds
87,Tuatapere,NZ,-46.1333,167.6833,71.98,50,0,5.99,clear sky
88,Villa Carlos Paz,AR,-31.4241,-64.4978,70.83,43,73,11.01,moderate rain
89,Talnakh,RU,69.4865,88.3972,-31.54,87,41,7.49,scattered clouds
90,Tanout,NE,14.9709,8.8879,56.61,30,1,11.14,clear sky
91,Tasiilaq,GL,65.6145,-37.6368,12.36,72,68,9.48,broken clouds
92,Oga,IT,46.4631,10.347,18.28,95,82,1.52,broken clouds
93,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,48,0,15.66,clear sky
94,Nkhotakota,MW,-12.9274,34.2961,71.33,87,100,5.77,light rain
95,Severo-Kurilsk,RU,50.6789,156.125,16.25,62,100,22.79,overcast clouds
96,Lagoa,PT,39.05,-27.9833,56.48,69,0,12.19,clear sky
97,Malindi,KE,-3.2175,40.1191,75.7,81,99,2.35,overcast clouds
98,Tromso,NO,69.6496,18.957,24.82,86,87,2.3,overcast clouds
99,Novocherkassk,RU,47.4181,40.0939,34.05,100,75,20.13,mist
100,Gamba,GA,-2.65,10.0,76.66,84,96,2.93,overcast clouds
101,Bairnsdale,AU,-37.8333,147.6167,66.06,93,100,1.01,light rain
102,Acarau,BR,-2.8856,-40.12,78.37,80,78,12.53,broken clouds
103,Aykhal,RU,66.0,111.5,-46.23,100,99,7.23,overcast clouds
104,Guasdualito,VE,7.2424,-70.7324,76.96,88,0,0.0,clear sky
105,Abnub,EG,27.2696,31.1511,49.39,62,0,3.13,clear sky
106,Ixtapa,MX,20.7,-105.2,69.03,78,20,0.0,few clouds
107,Gewane,ET,10.1664,40.6453,70.02,53,40,3.96,scattered clouds
108,Mahebourg,MU,-20.4081,57.7,80.26,89,75,13.8,light rain
109,Lethbridge,CA,49.7,-112.8186,32.97,74,0,14.97,clear sky
110,Lebu,CL,-37.6167,-73.65,54.99,92,10,9.89,clear sky
111,Luganville,VU,-15.5333,167.1667,81.32,80,94,4.34,light rain
112,Bengkulu,ID,-3.8004,102.2655,81.54,71,88,2.84,overcast clouds
113,Lodwar,KE,3.1191,35.5973,77.29,34,69,5.7,broken clouds
114,Vao,NC,-22.6667,167.4833,75.78,69,100,17.07,overcast clouds
115,Terme,TR,41.2092,36.9739,57.13,63,14,3.71,few clouds
116,Mitu,CO,1.1983,-70.1733,71.17,98,100,1.95,heavy intensity rain
117,Yaan,NG,7.3833,8.5667,74.16,23,16,4.61,few clouds
118,Khilok,RU,51.3674,110.4676,5.18,88,100,9.75,overcast clouds
119,Yala,TH,6.3333,101.25,85.6,64,40,6.24,scattered clouds
120,Butaritari,KI,3.0707,172.7902,81.37,79,50,17.98,light rain
121,Linxia,CN,35.6003,103.2064,16.3,60,100,1.59,overcast clouds
122,Minab,IR,27.1467,57.0801,64.47,82,100,5.86,light rain
123,Barrow,US,71.2906,-156.7887,-7.58,84,100,19.57,haze
124,Ilhabela,BR,-23.7781,-45.3581,75.74,92,70,2.1,broken clouds
125,Le Port,RE,-20.9373,55.2919,82.26,81,100,5.84,overcast clouds
126,Mount Isa,AU,-20.7333,139.5,92.97,36,2,11.5,clear sky
127,Pompeia,BR,-22.1086,-50.1717,74.66,75,98,3.94,overcast clouds
128,Batemans Bay,AU,-35.7167,150.1833,83.62,49,82,8.9,moderate rain
129,Ust-Kuyga,RU,70.0167,135.6,-48.46,100,100,3.15,overcast clouds
130,Oussouye,SN,12.485,-16.5469,68.09,27,73,7.47,broken clouds
131,Hualmay,PE,-11.0964,-77.6139,69.8,80,100,7.05,overcast clouds
132,Vaini,TO,-21.2,-175.2,84.36,74,20,4.61,few clouds
133,Redmond,US,47.674,-122.1215,46.87,88,100,1.99,overcast clouds
134,Sugag,RO,45.7667,23.6333,49.55,81,68,9.4,light rain
135,Humberto De Campos,BR,-2.5983,-43.4611,73.29,93,70,4.83,broken clouds
136,Mardin,TR,37.3131,40.7436,40.26,61,0,5.75,clear sky
137,Singaparna,ID,-7.3515,108.111,80.06,74,100,3.33,overcast clouds
138,Aksarka,RU,66.5606,67.7975,5.0,96,98,5.3,overcast clouds
139,Nizhniy Kuranakh,RU,58.8353,125.4869,-47.06,96,69,1.83,broken clouds
140,Port Antonio,JM,18.18,-76.4612,76.91,79,13,4.41,few clouds
